title,year,avgRating,votes,directorName,writeName,runtime,genre
Isle of Dogs,2018,8.2,18140,Wes Anderson,Roman Coppola,101,"Adventure,Animation,Comedy"
Isle of Dogs,2018,8.2,18140,Wes Anderson,Kunichi Nomura,101,"Adventure,Animation,Comedy"
Isle of Dogs,2018,8.2,18140,Wes Anderson,Wes Anderson,101,"Adventure,Animation,Comedy"
Isle of Dogs,2018,8.2,18140,Wes Anderson,Jason Schwartzman,101,"Adventure,Animation,Comedy"
A Quiet Place,2018,8.1,68050,John Krasinski,Bryan Woods,90,"Drama,Horror,Sci-Fi"
A Quiet Place,2018,8.1,68050,John Krasinski,Scott Beck,90,"Drama,Horror,Sci-Fi"
A Quiet Place,2018,8.1,68050,John Krasinski,John Krasinski,90,"Drama,Horror,Sci-Fi"
"Love, Simon",2018,8.1,14834,Greg Berlanti,Elizabeth Berger,110,"Comedy,Drama,Romance"
"Love, Simon",2018,8.1,14834,Greg Berlanti,Isaac Aptaker,110,"Comedy,Drama,Romance"
"Love, Simon",2018,8.1,14834,Greg Berlanti,Becky Albertalli,110,"Comedy,Drama,Romance"
Arif v 216,2018,7.9,19381,Kivanç Baruönü,Cem Yilmaz,125,"Comedy,Sci-Fi"
Ready Player One,2018,7.8,98784,Steven Spielberg,Ernest Cline,140,"Action,Adventure,Sci-Fi"
Ready Player One,2018,7.8,98784,Steven Spielberg,Zak Penn,140,"Action,Adventure,Sci-Fi"
Black Panther,2018,7.7,231507,Ryan Coogler,Stan Lee,134,"Action,Adventure,Sci-Fi"
Black Panther,2018,7.7,231507,Ryan Coogler,Jack Kirby,134,"Action,Adventure,Sci-Fi"
Black Panther,2018,7.7,231507,Ryan Coogler,Joe Robert Cole,134,"Action,Adventure,Sci-Fi"
Black Panther,2018,7.7,231507,Ryan Coogler,Ryan Coogler,134,"Action,Adventure,Sci-Fi"
Game Night,2018,7.4,28213,Jonathan Goldstein,Mark Perez,100,"Comedy,Crime,Mystery"
Game Night,2018,7.4,28213,John Francis Daley,Mark Perez,100,"Comedy,Crime,Mystery"
Nothing to Lose,2018,7.2,20843,Alexandre Avancini,Emílio Boechat,130,"Biography,Drama"
Nothing to Lose,2018,7.2,20843,Alexandre Avancini,Douglas Tavolaro,130,"Biography,Drama"
Nothing to Lose,2018,7.2,20843,Alexandre Avancini,Stephen P. Lindsey,130,"Biography,Drama"
Padmaavat,2018,7.1,14738,Sanjay Leela Bhansali,Sanjay Leela Bhansali,164,"Drama,History,Romance"
Padmaavat,2018,7.1,14738,Sanjay Leela Bhansali,Prakash Kapadia,164,"Drama,History,Romance"
Den of Thieves,2018,7.0,21336,Christian Gudegast,Christian Gudegast,140,"Action,Crime,Drama"
Den of Thieves,2018,7.0,21336,Christian Gudegast,Paul Scheuring,140,"Action,Crime,Drama"
Annihilation,2018,7.0,114020,Alex Garland,Alex Garland,115,"Adventure,Drama,Fantasy"
Annihilation,2018,7.0,114020,Alex Garland,Jeff VanderMeer,115,"Adventure,Drama,Fantasy"
Tomb Raider,2018,6.8,48281,Roar Uthaug,Alastair Siddons,118,"Action,Adventure,Drama"
Tomb Raider,2018,6.8,48281,Roar Uthaug,Geneva Robertson-Dworet,118,"Action,Adventure,Drama"
Tomb Raider,2018,6.8,48281,Roar Uthaug,Evan Daugherty,118,"Action,Adventure,Drama"
Red Sparrow,2018,6.7,40654,Francis Lawrence,Jason Matthews,140,"Drama,Mystery,Thriller"
Red Sparrow,2018,6.7,40654,Francis Lawrence,Justin Haythe,140,"Drama,Mystery,Thriller"
12 Strong,2018,6.6,17930,Nicolai Fuglsig,Peter Craig,130,"Action,Drama,History"
12 Strong,2018,6.6,17930,Nicolai Fuglsig,Ted Tally,130,"Action,Drama,History"
12 Strong,2018,6.6,17930,Nicolai Fuglsig,Doug Stanton,130,"Action,Drama,History"
Rampage,2018,6.5,14040,Brad Peyton,Ryan J. Condal,107,"Action,Adventure,Sci-Fi"
Rampage,2018,6.5,14040,Brad Peyton,Carlton Cuse,107,"Action,Adventure,Sci-Fi"
Rampage,2018,6.5,14040,Brad Peyton,Ryan Engle,107,"Action,Adventure,Sci-Fi"
Rampage,2018,6.5,14040,Brad Peyton,Adam Sztykiel,107,"Action,Adventure,Sci-Fi"
When We First Met,2018,6.4,21321,Ari Sandel,John Whittington,97,"Comedy,Fantasy,Romance"
Maze Runner: The Death Cure,2018,6.4,42292,Wes Ball,James Dashner,141,"Action,Sci-Fi,Thriller"
Maze Runner: The Death Cure,2018,6.4,42292,Wes Ball,T.S. Nowlin,141,"Action,Sci-Fi,Thriller"
The Commuter,2018,6.3,35329,Jaume Collet-Serra,Ryan Engle,105,"Action,Crime,Drama"
The Commuter,2018,6.3,35329,Jaume Collet-Serra,Byron Willinger,105,"Action,Crime,Drama"
The Commuter,2018,6.3,35329,Jaume Collet-Serra,Philip de Blasi,105,"Action,Crime,Drama"
The Outsider,2018,6.3,10265,Martin Zandvliet,John Linson,120,"Crime,Drama,Mystery"
The Outsider,2018,6.3,10265,Martin Zandvliet,Andrew Baldwin,120,"Crime,Drama,Mystery"
Braven,2018,6.3,12073,Lin Oeding,Thomas Pa'a Sibbett,94,"Action,Drama"
Braven,2018,6.3,12073,Lin Oeding,Michael Nilon,94,"Action,Drama"
Enes Batur Hayal mi Gerçek mi?,2018,6.3,48645,Kamil Cetin,Busra Nur Karahan,110,Comedy
Enes Batur Hayal mi Gerçek mi?,2018,6.3,48645,Kamil Cetin,Enver Sülük,110,Comedy
Pacific Rim: Uprising,2018,5.9,29394,Steven S. DeKnight,Kira Snyder,111,"Action,Adventure,Sci-Fi"
Pacific Rim: Uprising,2018,5.9,29394,Steven S. DeKnight,Steven S. DeKnight,111,"Action,Adventure,Sci-Fi"
Pacific Rim: Uprising,2018,5.9,29394,Steven S. DeKnight,Travis Beacham,111,"Action,Adventure,Sci-Fi"
Pacific Rim: Uprising,2018,5.9,29394,Steven S. DeKnight,T.S. Nowlin,111,"Action,Adventure,Sci-Fi"
Pacific Rim: Uprising,2018,5.9,29394,Steven S. DeKnight,Emily Carmichael,111,"Action,Adventure,Sci-Fi"
Insidious: The Last Key,2018,5.7,23467,Adam Robitel,Leigh Whannell,103,"Horror,Mystery,Thriller"
The Cloverfield Paradox,2018,5.6,61816,Julius Onah,Oren Uziel,102,"Horror,Mystery,Sci-Fi"
The Cloverfield Paradox,2018,5.6,61816,Julius Onah,Doug Jung,102,"Horror,Mystery,Sci-Fi"
